project, method, run, precision
commons-cli, pp, 1, 79.1
commons-cli, pp, 2, 80.1
commons-cli, pp, 3, 79.0
commons-cli, pp, 4, 79.8
commons-cli, pp, 5, 78.5
commons-cli, pp, 6, 79.2
commons-cli, pp, 7, 77.9
commons-cli, pp, 8, 77.4
commons-cli, pp, 9, 78.4
commons-cli, pp, 10, 79.0
commons-cli, pp, 11, 80.1
commons-cli, pp, 12, 79.1
commons-cli, pp, 13, 78.0
commons-cli, pp, 14, 77.9
commons-cli, pp, 15, 79.0
commons-cli, pp, 16, 77.3
commons-cli, pp, 17, 78.1
commons-cli, pp, 18, 79.5
commons-cli, pp, 19, 79.7
commons-cli, pp, 20, 79.7
commons-cli, pp, 21, 79.7
commons-cli, pp, 22, 79.4
commons-cli, pp, 23, 78.9
commons-cli, pp, 24, 79.1
commons-cli, pp, 25, 76.7
commons-cli, pp, 26, 77.0
commons-cli, pp, 27, 79.1
commons-cli, pp, 28, 77.7
commons-cli, pp, 29, 78.2
commons-cli, cs+pp, 0, 77.4
