project, method, run, timing
google-auto-value, 3D-Clus, 24, 16.7
google-auto-value, orig, 25, 4.8
google-auto-value, 3-Proj, 25, 4.8
google-auto-value, 3D-Clus, 25, 16.7
google-auto-value, orig, 26, 4.8
google-auto-value, 3-Proj, 26, 4.8
google-auto-value, 3D-Clus, 26, 16.9
google-auto-value, orig, 27, 4.9
google-auto-value, 3-Proj, 27, 4.8
google-auto-value, 3D-Clus, 27, 16.8
google-auto-value, orig, 28, 4.8
google-auto-value, 3-Proj, 28, 4.9
google-auto-value, 3D-Clus, 28, 18.1
google-auto-value, orig, 29, 4.8
google-auto-value, 3-Proj, 29, 4.8
google-auto-value, 3D-Clus, 29, 16.8
gson, cs, 0, 125.1
gson, orig, 0, 11.7
gson, 3-Proj, 0, 11.7
gson, 3D-Clus, 0, 53.5
gson, orig, 1, 11.6
gson, 3-Proj, 1, 11.8
gson, 3D-Clus, 1, 54.0
gson, orig, 2, 11.6
gson, 3-Proj, 2, 11.8
gson, 3D-Clus, 2, 53.7
gson, orig, 3, 11.9
gson, 3-Proj, 3, 11.5
gson, 3D-Clus, 3, 53.7
gson, orig, 4, 11.6
gson, 3-Proj, 4, 11.5
gson, 3D-Clus, 4, 53.5
gson, orig, 5, 11.8
gson, 3-Proj, 5, 11.5
gson, 3D-Clus, 5, 53.4
gson, orig, 6, 11.7
gson, 3-Proj, 6, 11.5
gson, 3D-Clus, 6, 53.5
gson, orig, 7, 11.7
gson, 3-Proj, 7, 11.7
gson, 3D-Clus, 7, 56.3
gson, orig, 8, 11.7
gson, 3-Proj, 8, 11.7
gson, 3D-Clus, 8, 56.0
gson, orig, 9, 11.6
gson, 3-Proj, 9, 11.7
gson, 3D-Clus, 9, 56.9
gson, orig, 10, 11.5
gson, 3-Proj, 10, 11.6
gson, 3D-Clus, 10, 54.8
gson, orig, 11, 11.6
gson, 3-Proj, 11, 11.5
gson, 3D-Clus, 11, 53.2
gson, orig, 12, 11.6
gson, 3-Proj, 12, 11.5
gson, 3D-Clus, 12, 53.2
gson, orig, 13, 11.7
