project, method, run, reduction
scribejava-core, 3D-Clus, 29, 0.139
google-auto-factory, cs, 0, 0.100
google-auto-factory, orig, 0, 0.132
google-auto-factory, 3-Proj, 0, 0.132
google-auto-factory, 3D-Clus, 0, 0.132
google-auto-factory, orig, 1, 0.132
google-auto-factory, 3-Proj, 1, 0.132
google-auto-factory, 3D-Clus, 1, 0.132
google-auto-factory, orig, 2, 0.132
google-auto-factory, 3-Proj, 2, 0.132
google-auto-factory, 3D-Clus, 2, 0.132
google-auto-factory, orig, 3, 0.132
google-auto-factory, 3-Proj, 3, 0.132
google-auto-factory, 3D-Clus, 3, 0.132
google-auto-factory, orig, 4, 0.132
google-auto-factory, 3-Proj, 4, 0.132
google-auto-factory, 3D-Clus, 4, 0.132
google-auto-factory, orig, 5, 0.132
google-auto-factory, 3-Proj, 5, 0.132
google-auto-factory, 3D-Clus, 5, 0.132
google-auto-factory, orig, 6, 0.132
google-auto-factory, 3-Proj, 6, 0.132
google-auto-factory, 3D-Clus, 6, 0.132
google-auto-factory, orig, 7, 0.132
google-auto-factory, 3-Proj, 7, 0.132
google-auto-factory, 3D-Clus, 7, 0.132
google-auto-factory, orig, 8, 0.132
google-auto-factory, 3-Proj, 8, 0.132
google-auto-factory, 3D-Clus, 8, 0.132
google-auto-factory, orig, 9, 0.132
google-auto-factory, 3-Proj, 9, 0.132
google-auto-factory, 3D-Clus, 9, 0.132
google-auto-factory, orig, 10, 0.132
google-auto-factory, 3-Proj, 10, 0.132
google-auto-factory, 3D-Clus, 10, 0.132
google-auto-factory, orig, 11, 0.132
google-auto-factory, 3-Proj, 11, 0.132
google-auto-factory, 3D-Clus, 11, 0.132
google-auto-factory, orig, 12, 0.132
google-auto-factory, 3-Proj, 12, 0.132
google-auto-factory, 3D-Clus, 12, 0.132
google-auto-factory, orig, 13, 0.132
google-auto-factory, 3-Proj, 13, 0.132
google-auto-factory, 3D-Clus, 13, 0.132
google-auto-factory, orig, 14, 0.132
google-auto-factory, 3-Proj, 14, 0.132
google-auto-factory, 3D-Clus, 14, 0.132
google-auto-factory, orig, 15, 0.132
google-auto-factory, 3-Proj, 15, 0.132
google-auto-factory, 3D-Clus, 15, 0.132
google-auto-factory, orig, 16, 0.132
google-auto-factory, 3-Proj, 16, 0.132
google-auto-factory, 3D-Clus, 16, 0.132
google-auto-factory, orig, 17, 0.132
google-auto-factory, 3-Proj, 17, 0.132
google-auto-factory, 3D-Clus, 17, 0.132
google-auto-factory, orig, 18, 0.132
google-auto-factory, 3-Proj, 18, 0.132
google-auto-factory, 3D-Clus, 18, 0.132
google-auto-factory, orig, 19, 0.132
google-auto-factory, 3-Proj, 19, 0.132
google-auto-factory, 3D-Clus, 19, 0.132
google-auto-factory, orig, 20, 0.132
google-auto-factory, 3-Proj, 20, 0.132
google-auto-factory, 3D-Clus, 20, 0.132
google-auto-factory, orig, 21, 0.132
google-auto-factory, 3-Proj, 21, 0.132
google-auto-factory, 3D-Clus, 21, 0.132
google-auto-factory, orig, 22, 0.132
google-auto-factory, 3-Proj, 22, 0.132
google-auto-factory, 3D-Clus, 22, 0.132
google-auto-factory, orig, 23, 0.132
google-auto-factory, 3-Proj, 23, 0.132
google-auto-factory, 3D-Clus, 23, 0.132
google-auto-factory, orig, 24, 0.132
google-auto-factory, 3-Proj, 24, 0.132
google-auto-factory, 3D-Clus, 24, 0.132
google-auto-factory, orig, 25, 0.132
google-auto-factory, 3-Proj, 25, 0.132
google-auto-factory, 3D-Clus, 25, 0.132
google-auto-factory, orig, 26, 0.132
google-auto-factory, 3-Proj, 26, 0.132
google-auto-factory, 3D-Clus, 26, 0.132
google-auto-factory, orig, 27, 0.132
google-auto-factory, 3-Proj, 27, 0.132
google-auto-factory, 3D-Clus, 27, 0.132
google-auto-factory, orig, 28, 0.132
google-auto-factory, 3-Proj, 28, 0.132
google-auto-factory, 3D-Clus, 28, 0.132
google-auto-factory, orig, 29, 0.132
google-auto-factory, 3-Proj, 29, 0.132
google-auto-factory, 3D-Clus, 29, 0.132
