project, method, run, timing
scribejava-core, 3-Proj, 2, 0.9
scribejava-core, 3D-Clus, 2, 2.1
scribejava-core, orig, 3, 1.0
scribejava-core, 3-Proj, 3, 0.9
scribejava-core, 3D-Clus, 3, 2.2
scribejava-core, orig, 4, 1.0
scribejava-core, 3-Proj, 4, 0.9
scribejava-core, 3D-Clus, 4, 2.1
scribejava-core, orig, 5, 1.0
scribejava-core, 3-Proj, 5, 0.9
scribejava-core, 3D-Clus, 5, 2.1
scribejava-core, orig, 6, 1.0
scribejava-core, 3-Proj, 6, 0.9
scribejava-core, 3D-Clus, 6, 2.1
scribejava-core, orig, 7, 1.0
scribejava-core, 3-Proj, 7, 0.9
scribejava-core, 3D-Clus, 7, 2.2
scribejava-core, orig, 8, 1.0
scribejava-core, 3-Proj, 8, 0.9
scribejava-core, 3D-Clus, 8, 2.1
scribejava-core, orig, 9, 1.0
scribejava-core, 3-Proj, 9, 0.9
scribejava-core, 3D-Clus, 9, 2.2
scribejava-core, orig, 10, 1.0
scribejava-core, 3-Proj, 10, 1.0
scribejava-core, 3D-Clus, 10, 2.1
scribejava-core, orig, 11, 1.0
scribejava-core, 3-Proj, 11, 0.9
scribejava-core, 3D-Clus, 11, 2.1
scribejava-core, orig, 12, 1.0
scribejava-core, 3-Proj, 12, 0.9
scribejava-core, 3D-Clus, 12, 2.1
scribejava-core, orig, 13, 1.0
scribejava-core, 3-Proj, 13, 0.9
scribejava-core, 3D-Clus, 13, 2.1
scribejava-core, orig, 14, 1.0
scribejava-core, 3-Proj, 14, 1.0
scribejava-core, 3D-Clus, 14, 2.1
scribejava-core, orig, 15, 1.0
scribejava-core, 3-Proj, 15, 0.9
scribejava-core, 3D-Clus, 15, 2.2
scribejava-core, orig, 16, 1.0
scribejava-core, 3-Proj, 16, 0.9
scribejava-core, 3D-Clus, 16, 2.2
scribejava-core, orig, 17, 1.0
scribejava-core, 3-Proj, 17, 1.1
scribejava-core, 3D-Clus, 17, 2.2
scribejava-core, orig, 18, 1.0
scribejava-core, 3-Proj, 18, 0.9
scribejava-core, 3D-Clus, 18, 2.2
scribejava-core, orig, 19, 1.0
scribejava-core, 3-Proj, 19, 0.9
scribejava-core, 3D-Clus, 19, 2.2
scribejava-core, orig, 20, 1.0
scribejava-core, 3-Proj, 20, 0.9
scribejava-core, 3D-Clus, 20, 2.2
scribejava-core, orig, 21, 1.0
scribejava-core, 3-Proj, 21, 0.9
scribejava-core, 3D-Clus, 21, 2.1
scribejava-core, orig, 22, 1.0
scribejava-core, 3-Proj, 22, 0.9
scribejava-core, 3D-Clus, 22, 2.1
scribejava-core, orig, 23, 1.0
scribejava-core, 3-Proj, 23, 0.9
scribejava-core, 3D-Clus, 23, 2.1
scribejava-core, orig, 24, 1.0
scribejava-core, 3-Proj, 24, 0.9
scribejava-core, 3D-Clus, 24, 2.1
scribejava-core, orig, 25, 1.0
scribejava-core, 3-Proj, 25, 0.9
scribejava-core, 3D-Clus, 25, 2.1
scribejava-core, orig, 26, 1.0
scribejava-core, 3-Proj, 26, 0.9
scribejava-core, 3D-Clus, 26, 2.1
scribejava-core, orig, 27, 1.0
scribejava-core, 3-Proj, 27, 1.0
scribejava-core, 3D-Clus, 27, 2.1
scribejava-core, orig, 28, 1.0
scribejava-core, 3-Proj, 28, 0.9
scribejava-core, 3D-Clus, 28, 2.1
scribejava-core, orig, 29, 1.0
scribejava-core, 3-Proj, 29, 0.9
scribejava-core, 3D-Clus, 29, 2.1
google-auto-factory, cs, 0, 3.5
google-auto-factory, orig, 0, 1.0
google-auto-factory, 3-Proj, 0, 0.9
google-auto-factory, 3D-Clus, 0, 2.3
google-auto-factory, orig, 1, 1.0
google-auto-factory, 3-Proj, 1, 0.9
google-auto-factory, 3D-Clus, 1, 2.3
google-auto-factory, orig, 2, 1.0
google-auto-factory, 3-Proj, 2, 0.9
google-auto-factory, 3D-Clus, 2, 2.3
google-auto-factory, orig, 3, 1.0
google-auto-factory, 3-Proj, 3, 0.9
google-auto-factory, 3D-Clus, 3, 2.3
google-auto-factory, orig, 4, 1.1
google-auto-factory, 3-Proj, 4, 0.9
google-auto-factory, 3D-Clus, 4, 2.3
google-auto-factory, orig, 5, 1.0
google-auto-factory, 3-Proj, 5, 0.9
google-auto-factory, 3D-Clus, 5, 2.3
google-auto-factory, orig, 6, 1.0
google-auto-factory, 3-Proj, 6, 0.9
google-auto-factory, 3D-Clus, 6, 2.3
google-auto-factory, orig, 7, 1.0
google-auto-factory, 3-Proj, 7, 0.9
google-auto-factory, 3D-Clus, 7, 2.4
google-auto-factory, orig, 8, 1.0
google-auto-factory, 3-Proj, 8, 0.9
google-auto-factory, 3D-Clus, 8, 2.3
google-auto-factory, orig, 9, 1.0
google-auto-factory, 3-Proj, 9, 1.0
google-auto-factory, 3D-Clus, 9, 2.3
google-auto-factory, orig, 10, 1.0
